Gene.symbol	Gene.ID	adj.P.Val	P.Value	logFC
MRPL16	54948	2.13011804420667e-12	3.2501913343368e-15	-1.5207070304359
HIST3H2A	92815	2.9481508827578e-12	4.63067275037126e-15	-2.57696954255556
IL12RB2	3595	2.98555133233915e-12	4.93741841092902e-15	-1.82267050885897
TRO	7216	2.98555133233915e-12	4.9573845216779e-15	-2.02971480161966
TAL1	6886	3.35733886661358e-12	5.7253905188402e-15	-1.43854189167522
GPSM2	29899	3.75651840786972e-12	6.57470797948747e-15	-1.71234078524359
DNAJC6	9829	3.96812654354317e-12	7.12314597413844e-15	-2.4230551703718
ITGAM	3684	4.72897949121873e-12	8.70116946281774e-15	3.01130295356838
FAM117A	81558	5.03966043717848e-12	9.49897852001509e-15	-2.95993123094017
ABHD10	55347	6.74596253911277e-12	1.301783373791e-14	-1.87408116498291
SLC23A3///NHEJ1	151295///79840	7.56778408864642e-12	1.49433424539085e-14	-1.00525893973932
ARPC2	10109	8.52279434605245e-12	1.72115848661473e-14	0.914948502863245
ITGB2	3689	9.30733884714448e-12	1.92136421024389e-14	2.59208578038034
KIFAP3	22920	1.41691496006057e-11	2.98860131592903e-14	-1.90368678210684
HOMER3	9454	1.69669512555949e-11	3.65486541430038e-14	3.71596255211111
SPAG16	79582	2.38537501776369e-11	5.24540572949875e-14	-1.83856759629915
PIP5K1B	8395	2.79616448626031e-11	6.27421012938183e-14	-2.3229409163547
TFR2	7036	2.94952388406122e-11	6.75069416537819e-14	-2.91318798147009
ARMCX2	9823	4.74884885634768e-11	1.10819970618893e-13	-2.12153616721368
CXorf57	55086	5.17920423111395e-11	1.23329893138878e-13	-1.89367479750855
UCHL1	7345	5.17920423111395e-11	1.25511389166698e-13	-1.09311339784615
CD33	945	5.40161963809576e-11	1.33325440961839e-13	2.44673402069231
MLLT3	4300	5.87714674494291e-11	1.47790004475735e-13	-3.16291164656838
PCDH9	5101	5.87714674494291e-11	1.50337640560852e-13	-4.05033041674786
TAL1	6886	7.06516073513582e-11	1.83897734882142e-13	-3.95414530207265
NEDD4	4734	7.76608826131262e-11	2.05627252801438e-13	-1.9578507148718
ARG2	384	9.7370560590603e-11	2.62183441881083e-13	-2.37234447420513
GAS7	8522	1.01303705329721e-10	2.7732020038204e-13	1.98118415809402
GUCY1B3	2983	1.13306030189631e-10	3.21428056537732e-13	-3.09909035767949
LDOC1	23641	1.13306030189631e-10	3.22249660150371e-13	-1.56557818735043
FAM50B	26240	1.13306030189631e-10	3.26444707250241e-13	-1.24439467123077
TIMP1	7076	1.13306030189631e-10	3.30516176561774e-13	1.97334370517521
MINPP1	9562	1.46911519108109e-10	4.35137111750448e-13	-2.79154602669231
METTL13	51603	1.77738160615175e-10	5.34418918512621e-13	-1.7487848326624
HLTF	6596	1.98227838885144e-10	6.04922723340206e-13	-2.18569960707693
CCL5	6352	2.23167136562451e-10	6.95857865151758e-13	2.97993299310257
TRO	7216	2.23167136562451e-10	7.01059083578134e-13	-1.05483159995726
MAGEH1	28986	2.23375777077578e-10	7.11739001593503e-13	-1.20046480213675
GPSM2	29899	2.92606629921171e-10	9.45459648805111e-13	-1.96055940159829
FCER1G	2207	4.47150649280435e-10	1.46488342671416e-12	3.37845440571368
KANK1	23189	4.66934248342283e-10	1.55065001917735e-12	-2.88457977273077
C1orf109	54955	4.76824686037044e-10	1.60489393047518e-12	-0.809557542995726
MYC	4609	5.17187713727805e-10	1.76395755703061e-12	-2.82595334000427
HOMER3	9454	5.3855488659055e-10	1.87683223207124e-12	3.70920323313675
CLCC1	23155	5.3855488659055e-10	1.88517170731333e-12	-1.01486599214957
CTSA	5476	5.39959430436974e-10	1.9143201097034e-12	1.59737157463248
FYB	2533	5.52940092150449e-10	1.98515493299986e-12	2.28157309932906
MYO1F	4542	5.88025269525271e-10	2.13750602843185e-12	1.49920940920513
CCL5	6352	6.95210535361525e-10	2.55832984336243e-12	2.81532807409402
BRD8	10902	8.08192159117e-10	3.01036436775618e-12	-1.4812832481453
ABCB1	5243	8.72495428406959e-10	3.28903720262912e-12	-2.83564482210257
ACSM3	6296	9.41593451377294e-10	3.59177145658439e-12	-2.30348775742735
F2RL1	2150	9.45894661538486e-10	3.6506278729215e-12	-3.3423886320171
CFP	5199	1.07815919160341e-09	4.2434407892774e-12	3.4316485585
ACACB	32	1.07815919160341e-09	4.25786513759818e-12	-1.37361817232906
UROD	7389	1.09368346766645e-09	4.36825511027753e-12	-1.37053100671368
TIGAR	57103	1.13009747678464e-09	4.56441111657394e-12	2.29427898681197
GAS7	8522	1.19394233976851e-09	4.8758584086045e-12	2.67229714973504
GABPB1	2553	1.37793498434158e-09	5.68909117082196e-12	-1.38131014032052
MYO5C	55930	1.42632395853517e-09	5.95288462701478e-12	-3.11311439682051
LPXN	9404	1.43538165507744e-09	6.05510369237893e-12	2.5753728252906
CALM3///CALM2///CALM1	808///805///801	1.47072845813064e-09	6.27021512015485e-12	1.05671596725641
KIF5B	3799	1.47888560299718e-09	6.37136013497864e-12	0.827622106064101
C3orf14	57415	1.53918381319254e-09	6.70021226404326e-12	-1.81376582569658
ABCB4///ABCB1	5244///5243	1.54404306224338e-09	6.79065745635019e-12	-2.23392242488035
ATP6V0B	533	1.73626017628359e-09	7.71394145546269e-12	1.13078832615812
PIR	8544	1.76834132319813e-09	7.93583145536116e-12	-1.78023002683333
TMEM231	79583	1.93396447254907e-09	8.76589380817017e-12	-1.00975694212393
STAC	6769	2.10039453580793e-09	9.74613598319645e-12	-1.05130593463675
MSH6	2956	2.10039453580793e-09	9.80232869274789e-12	-1.59698617187607
SLC27A5	10998	2.10039453580793e-09	9.80303512651011e-12	-1.1490344847094
ACSM3	6296	2.14793192377757e-09	1.01647190296788e-11	-2.07774658516667
PGRMC2	10424	2.14793192377757e-09	1.02176898945574e-11	-1.32934317247009
MRPL39	54148	2.23491498600976e-09	1.07317642823249e-11	-1.27908025860257
CYBA	1535	2.44136399941717e-09	1.183266669376e-11	1.47024799485897
FAM86DP///FAM86B2///FAM86FP///FAM86B1///FAM86C1	692099///653333///653113///85002///55199	2.45224544312441e-09	1.19954563254751e-11	-1.4306768851453
IL13RA1	3597	2.50061243787295e-09	1.2344269989051e-11	2.87763510826923
REXO2	25996	2.8100626166231e-09	1.39979782993836e-11	-2.12164340272649
JAM2	58494	3.11962071054461e-09	1.56800035713771e-11	-1.00052775928632
UNG	7374	3.15461791265834e-09	1.61358442752462e-11	-2.00350120717522
DPPA4	55211	3.15461791265834e-09	1.61390495913051e-11	-1.68330900144445
SEPHS1	22929	3.53820037397814e-09	1.82602451648111e-11	-1.36681063911966
JADE3	9767	3.9656971010689e-09	2.0644476225104e-11	-1.24822122246581
PKIA	5569	4.04928273759258e-09	2.12613238925787e-11	-1.15072816505556
RAP2C	57826	4.09429762688435e-09	2.1681421710378e-11	1.03528239668803
GAS7	8522	4.14824633227741e-09	2.21532699161249e-11	2.56430104291026
CDC7	8317	4.23028258794407e-09	2.27812193400031e-11	-1.61374923776068
TCEAL9	51186	4.7106644198517e-09	2.55796075394721e-11	-2.94415611576923
ZNF330	27309	4.89986849004261e-09	2.68527685031224e-11	-1.08216922530342
SDHAP2///SDHAP1	727956///255812	4.89986849004261e-09	2.7046799096856e-11	-0.681868629722219
PARP8	79668	4.97655986246416e-09	2.76934624128509e-11	2.64624112618803
MREG	55686	5.02795893888727e-09	2.82051280061441e-11	-2.19588317786325
MIR6132///ST7-OT3///ST7	102466616///93655///7982	5.32160519270308e-09	3.02532167195365e-11	-1.93645016652564
CLIC2	1193	5.32160519270308e-09	3.03300210686753e-11	-1.90999074058974
OXCT1	5019	5.44358522060289e-09	3.12899376361122e-11	-1.2705266926453
GATA1	2623	5.44358522060289e-09	3.15138219026959e-11	-1.59197989594017
NCF2	4688	6.2159046060651e-09	3.64251365289188e-11	4.28503845123077
PRR3	80742	6.2159046060651e-09	3.65428130590373e-11	-1.03999734651709
TRO	7216	6.22346287063399e-09	3.6866539466126e-11	-1.24677523279487
GSPT2	23708	6.22991398143324e-09	3.73104558065918e-11	-2.32626214221368
WEE1	7465	6.22991398143324e-09	3.77067511637214e-11	-1.79824520225214
RNF8	9025	6.22991398143324e-09	3.77434989675307e-11	-1.16192817381197
METTL13	51603	6.51839938475237e-09	3.97837955538447e-11	-1.49288058041026
PELO	53918	6.59539421159906e-09	4.05497018798667e-11	-1.2350214157265
KCNH2	3757	6.65310235995028e-09	4.12030752444975e-11	-2.21817827399145
TPM1	7168	7.69430470696656e-09	4.79966052267806e-11	-1.53000513740598
TRIB2	28951	8.08463207931542e-09	5.10319572273134e-11	-3.19944401799573
LOC101928615///FNDC3B	101928615///64778	8.08463207931542e-09	5.11570759405589e-11	1.87827575173077
C10orf10	11067	9.10344726742021e-09	5.8081180967362e-11	-2.61622325412393
PAAF1	80227	9.10344726742021e-09	5.85877798329653e-11	-1.1012365784188
PRUNE1	58497	9.10344726742021e-09	5.88294397750981e-11	-1.27629948013675
KIAA0232	9778	9.16729752261506e-09	5.96534641107204e-11	1.25788122261111
NOC3L	64318	9.47598412953366e-09	6.20874066737833e-11	-2.03288719616667
CCND3	896	9.96020140719569e-09	6.57070235990561e-11	0.89427536816239
CKAP2	26586	1.01463369145215e-08	6.73902914037243e-11	-1.11373237347864
LXN	56925	1.04883710122037e-08	7.01327146622247e-11	-1.96480955471795
CORO1A	11151	1.06702627714971e-08	7.18278246073044e-11	1.55637295767948
TIMP2	7077	1.10579718905149e-08	7.49339745755844e-11	2.14843023749145
PPAT	5471	1.11645016049961e-08	7.6156901851609e-11	-1.07895671855128
CHST10	9486	1.13223920171257e-08	7.77420445460772e-11	-0.438229439764958
CFD	1675	1.17463493177685e-08	8.11801729989833e-11	4.18063301875641
KDM1A	23028	1.18809216647605e-08	8.26433989156701e-11	-0.955009525961538
ORC5	5001	1.24899651118301e-08	8.74404055757974e-11	-2.0009582137094
SDPR	8436	1.29177320286877e-08	9.10148511647431e-11	-2.35374684428633
MAP4K4	9448	1.29549858574603e-08	9.19836997976215e-11	1.2419991937094
TPM1	7168	1.29549858574603e-08	9.24401001362557e-11	-1.74313605069231
LAMP2	3920	1.34118852137005e-08	9.63021870570423e-11	1.6190966609829
TMEM30A	55754	1.43251331705555e-08	1.03502510454581e-10	1.52364185702564
WAS	7454	1.4672816514759e-08	1.06673081514651e-10	0.708542400585467
LAMP1	3916	1.52642521316144e-08	1.11657905015175e-10	0.754907023846158
FAM49B	51571	1.59831086256424e-08	1.17633613723706e-10	1.12166235882051
RAB2A	5862	1.61207528035821e-08	1.19370112309431e-10	1.11274524933761
CDKN2D	1032	1.61699181312628e-08	1.20459830803286e-10	1.69659606201709
MSH6	2956	1.66125921849902e-08	1.2450311425272e-10	-2.02815206084616
HTRA2	27429	1.79447487715958e-08	1.35292276337481e-10	-0.778468491094015
PMS2P8	729299	1.82068418487433e-08	1.3808536877609e-10	-1.08411274244017
STAB1	23166	1.89544199956664e-08	1.44605816059924e-10	3.5671313142906
DIAPH2	1730	2.1020239000532e-08	1.61309557469415e-10	1.20686091219231
FAM124B	79843	2.37066110424619e-08	1.82988695386772e-10	-2.19958371319231
CHRM3	1131	2.45602109812913e-08	1.90679733418453e-10	-1.56004065855556
SH3BGRL3	83442	2.51419129417822e-08	1.9773379480642e-10	1.31066422005128
NDN	4692	2.51419129417822e-08	1.98538995638572e-10	-2.31304080936752
PLP2	5355	2.51419129417822e-08	1.98580831923604e-10	1.35438809466666
MPL	4352	2.71054744237901e-08	2.15306241215763e-10	-3.16077615301282
DOK2	9046	2.77486010128118e-08	2.21660053865301e-10	1.67421112523077
SNX5	27131	2.91153649297591e-08	2.33884590155135e-10	-1.52751794454274
CSF1R	1436	3.05211538245047e-08	2.46547039824568e-10	2.48349136276068
TCEB3-AS1	100506963	3.06157327371936e-08	2.48684989697619e-10	-0.873518438551284
DET1	55070	3.26264443599254e-08	2.66481751716843e-10	-0.893953709764957
BAG4	9530	3.34583290398074e-08	2.755202393937e-10	1.80701135932479
TPP1	1200	3.34583290398074e-08	2.76279340453465e-10	1.50801715095726
TMEM231	79583	3.44798498270758e-08	2.86261823722525e-10	-0.552090572636752
CBR3	874	3.49167027207261e-08	2.91455670513623e-10	-1.34696843500855
UMPS	7372	3.49841371724748e-08	2.95652197156515e-10	-1.47118398461966
ANKHD1-EIF4EBP3///ANKHD1	404734///54882	3.49841371724748e-08	2.96088029312762e-10	-0.895894028773508
SLC31A2	1318	3.49841371724748e-08	2.96728534111104e-10	1.8959029061282
SDHA	6389	3.65812229281034e-08	3.11916364777617e-10	-0.826131232042737
NLK	51701	3.72886025625521e-08	3.2084390005381e-10	-1.23924638844872
BDH2	56898	3.72886025625521e-08	3.21294784903738e-10	-1.2874099625641
PIGL	9487	3.91612347194454e-08	3.3918764532841e-10	-1.04333866977778
PKIG	11142	4.35330773121813e-08	3.79995538608755e-10	-2.54645845649145
CTNNBL1	56259	4.35330773121813e-08	3.82091759612599e-10	-1.07375807770085
KCNQ1	3784	4.35330773121813e-08	3.82914470815758e-10	2.0635892643547
TTC33	23548	4.35536811099212e-08	3.86549610555966e-10	-1.35054906016667
MEF2A	4205	4.35536811099212e-08	3.87004840450765e-10	1.04814522945726
EREG	2069	4.41593058108262e-08	3.94367987091254e-10	-4.34497935733333
ME3	10873	4.62442923095129e-08	4.15063432298281e-10	-1.92050421059829
GEMIN2	8487	4.6339597617972e-08	4.17998434735555e-10	-1.05417847851709
LAPTM4B	55353	4.64024756993944e-08	4.20648031740684e-10	-3.52307226370513
FLNA	2316	4.84554317122806e-08	4.41433049301842e-10	1.24487217877778
LAPTM4B	55353	4.92394675983101e-08	4.5228939944215e-10	-4.03636137129488
TGIF2-C20orf24///C20orf24	100527943///55969	4.92394675983101e-08	4.52995146867727e-10	0.953847378324786
NCOA3	8202	5.0301390928472e-08	4.65022058576728e-10	1.12609921555128
KCNH2	3757	5.24541670160962e-08	4.87277860805633e-10	-1.68556092518804
SH2B3	10019	5.38589955188806e-08	5.02745189962176e-10	1.25721295747864
HDGFRP3	50810	5.46001469220338e-08	5.12113750693581e-10	-2.56572353331624
HPF1	54969	5.57328886060677e-08	5.25239267929552e-10	-1.58696630227778
ATP6V0A2	23545	5.58631690201893e-08	5.28974045831349e-10	-2.14329445812394
LAMP2	3920	5.94760062388231e-08	5.65853490222614e-10	1.41611529103419
TLE4	7091	5.95059633482746e-08	5.68808966170735e-10	1.68910575119231
HMCES	56941	6.04010565993992e-08	5.80075668099961e-10	-1.01611547188462
CMTM6	54918	6.10731191404929e-08	5.89270772122514e-10	0.74083039861538
C11orf49	79096	6.11320562462598e-08	5.95289886232006e-10	-1.10708089502564
TMEM9B	56674	6.11320562462598e-08	5.95326311782003e-10	0.828230115119655
MRPL46	26589	6.30180407293574e-08	6.16520795180178e-10	-1.15550733380342
POLE2	5427	6.33350597304551e-08	6.24620285470431e-10	-1.95517687363248
SART3	9733	6.33350597304551e-08	6.25956177773246e-10	-0.737303610380343
TNFSF4	7292	6.33350597304551e-08	6.3087867634631e-10	-2.33457243574359
ACACB	32	6.33350597304551e-08	6.35074518083474e-10	-1.01764856619231
TTC4	7268	6.33350597304551e-08	6.35659715966128e-10	-0.645580070995728
DBI	1622	6.33350597304551e-08	6.36676092968718e-10	1.04848992754701
FAHD2A	51011	6.49375818037906e-08	6.55699677146385e-10	-1.5757621399359
PPM1H	57460	6.53087351683943e-08	6.6237823219751e-10	-1.87979617534615
ARHGAP22	58504	7.88298465318563e-08	8.03050539098477e-10	-2.45751139550428
COL4A3BP	10087	8.03452010965443e-08	8.23062218396664e-10	1.2729391263547
TMCO6	55374	8.03452010965443e-08	8.28669155477526e-10	-1.11358815772222
DENND3	22898	8.03452010965443e-08	8.29304683041116e-10	1.11968233491453
FXN	2395	8.08833977483185e-08	8.38489650399927e-10	-0.990412455192311
FANCF	2188	8.13613813623174e-08	8.47096013824783e-10	-1.38796494887607
RASSF2	9770	8.32326697938074e-08	8.70314233359832e-10	1.47853722998291
SRSF7	6432	8.39082066633992e-08	8.81143488723933e-10	-1.76721727611966
DIEXF	27042	8.57753174389509e-08	9.05838297368959e-10	-0.911075076482904
GPX1	2876	8.57753174389509e-08	9.08449262468807e-10	0.844008150598292
MAN2B1	4125	8.6161310893997e-08	9.16404015701535e-10	1.19745847155128
ASNSD1	54529	8.71189131144132e-08	9.30498645659487e-10	-0.956065277333334
ADGRE5	976	8.720904337711e-08	9.35375010866099e-10	1.72304405947863
		9.23677800811218e-08	9.94851107098202e-10	2.67473027492735
HPS4	89781	9.32813150155189e-08	1.00887658388637e-09	-1.17111958116667
FGR	2268	9.60553223800609e-08	1.04554073491621e-09	2.83457500133333
PLXNC1	10154	9.60553223800609e-08	1.04750003762307e-09	-2.49315352360256
DIAPH1	1729	9.73362445005046e-08	1.06583690069215e-09	0.982218458884612
ADGRG6	57211	1.01492895102949e-07	1.11757095291251e-09	-3.25238385513248
OARD1	221443	1.01492895102949e-07	1.12046188553271e-09	-1.06020008358974
HCK	3055	1.01768277851827e-07	1.12806913922727e-09	2.5486898789359
IL10RA	3587	1.06804940756796e-07	1.18869206604521e-09	3.17076422239743
DDX50	79009	1.07383309843751e-07	1.19994812866732e-09	-0.764282083769235
UROD	7389	1.07953978519575e-07	1.21116970919058e-09	-1.40862550190172
C5orf30	90355	1.15481187127499e-07	1.30080231427556e-09	-1.15311796804274
TGOLN2	10618	1.17933890017645e-07	1.33372258153958e-09	0.734336024880342
SLC27A2	11001	1.28069238998274e-07	1.45409134616359e-09	-2.38463049475214
FAM234B	57613	1.32087923851239e-07	1.50564702500627e-09	-0.902034776529914
SLC22A18	5002	1.39562831306324e-07	1.59711537867938e-09	1.46535333491025
NAT10	55226	1.47773296160234e-07	1.70213801874585e-09	-1.12234211596154
UMPS	7372	1.47773296160234e-07	1.7043368089207e-09	-1.30759362275214
ELMO1	9844	1.49200299793375e-07	1.72749079328145e-09	-1.45950012185898
FBL	2091	1.55728050582145e-07	1.81005991566556e-09	-1.14316338573077
CAPG	822	1.56807397613003e-07	1.82964247988964e-09	1.99807822739316
PPAN-P2RY11///PPAN	692312///56342	1.60459136399662e-07	1.87945225509634e-09	-0.575468249722223
GRB10	2887	1.6143270808575e-07	1.90290314200834e-09	-3.05975925332906
MYCT1	80177	1.6143270808575e-07	1.90534498166999e-09	-0.960412705683762
FLNA	2316	1.72275449354896e-07	2.04105006640454e-09	1.1260559662735
BAZ1B	9031	1.72563365342234e-07	2.05220535007369e-09	-1.31065442395727
LST1	7940	1.72813071004768e-07	2.06293034543232e-09	1.68764739291452
GFI1B	8328	1.75392051825538e-07	2.10158766043256e-09	-1.96281281194872
MEF2D	4209	1.7920383357599e-07	2.15880066747696e-09	1.23608987879915
SCRN1	9805	1.7920383357599e-07	2.16334565507074e-09	-2.76717226405983
B4GALT6	9331	1.80646139317166e-07	2.1888640495281e-09	-1.95889484910684
MROH7-TTC4///TTC4	100527960///7268	1.8205652843694e-07	2.21412373587087e-09	-1.02622613789744
PMS2P1	5379	1.84429257836639e-07	2.25125692822178e-09	-0.784949900153848
HDGFRP3	50810	1.84704995791217e-07	2.26291180949613e-09	-2.18366869668376
PMS2P9///PMS2P5	100132832///5383	1.85160382959519e-07	2.27680047259832e-09	-0.810707904551283
PIM2	11040	1.86406453985821e-07	2.30048803330345e-09	-1.14116199936752
ASB13	79754	1.97365704337606e-07	2.44459607760083e-09	-1.21607219535898
CSNK2A2	1459	1.99230255077307e-07	2.47663154227052e-09	-1.43991185500427
SERPINB9	5272	2.01575970000919e-07	2.51483730468318e-09	-2.70906260429915
SLC27A2	11001	2.07675205397507e-07	2.60233202848996e-09	-1.75862313513248
DIAPH1	1729	2.07675205397507e-07	2.61459118585751e-09	1.04098910853846
TSPYL4	23270	2.07675205397507e-07	2.61889030726111e-09	-1.22530570402564
SF3B3	23450	2.09261843742407e-07	2.6482897246941e-09	-1.2223653450812
MRPS31	10240	2.13650579409903e-07	2.71341892801698e-09	-1.3283041144359
TLR2	7097	2.15300640235153e-07	2.74403724035288e-09	2.49239557398291
DBI	1622	2.1791728267795e-07	2.78716625064919e-09	1.10111434368803
SCPEP1	59342	2.17930299703491e-07	2.79711285352952e-09	2.97749872681197
PSMG1	8624	2.20661406402042e-07	2.84469203666415e-09	-1.26267302788462
SEPHS1	22929	2.20661406402042e-07	2.85484536987608e-09	-0.674449062619661
MPPED2	744	2.20661406402042e-07	2.86187436387336e-09	-1.36417637973504
STK17B	9262	2.25456462498088e-07	2.9341818482451e-09	3.06545306346154
LST1	7940	2.25944403214035e-07	2.95067187251646e-09	1.73484902017949
ADAP1	11033	2.45018419050423e-07	3.21076059609224e-09	1.22011041949573
PMS2P3	5387	2.49540354338471e-07	3.28121544770327e-09	-0.720412047205133
WDR26	80232	2.50816467939471e-07	3.30925106916503e-09	0.868541006568375
IL3RA	3563	2.51745229581103e-07	3.33280270728472e-09	1.04544328510256
ARPC2	10109	2.77493567935017e-07	3.6861327518182e-09	0.821722554965813
TCF4	6925	2.79550694127466e-07	3.73849439553514e-09	-2.42471586144872
ALOX5	240	2.79550694127466e-07	3.738549874343e-09	3.0952654228718
TRIM68	55128	2.80624763043204e-07	3.76550752366907e-09	-0.943445461542735
KIF2A	3796	2.90907642961875e-07	3.91654143914923e-09	-1.43554824693162
ZNF574	64763	2.91083738689808e-07	3.93197528814039e-09	-0.828177992799145
PHB2	11331	2.96331834329575e-07	4.01616541612582e-09	-0.841200327893164
ZNF544	27300	2.97626609392027e-07	4.04707008238497e-09	-1.31569469075214
HDGFRP3	50810	3.04667619921074e-07	4.15648505389788e-09	-1.62097367911966
LOC101928625///MED21	101928625///9412	3.04928363537962e-07	4.1737266471785e-09	-1.83647114602137
TBC1D31	93594	3.11352233081916e-07	4.27562641130306e-09	-1.65756793578633
ANP32B	10541	3.25053101959763e-07	4.47836028818594e-09	-0.67991549153847
RFC1	5981	3.27532687827775e-07	4.52722110357469e-09	-1.0053427112265
RAB11FIP1	80223	3.29606367087416e-07	4.57067573621198e-09	2.22224386919231
TPP1	1200	3.3345303634133e-07	4.64028234988021e-09	1.05441141255555
RNH1	6050	3.3345303634133e-07	4.65394669937412e-09	1.1983432933547
TPM1	7168	3.33603947800188e-07	4.67102417599329e-09	-2.51217667744017
CTDSPL	10217	3.49607321443035e-07	4.91078811702509e-09	-1.50296296787607
PMS2P1	5379	3.52001419299472e-07	4.96021386976773e-09	-0.81451267973077
GNPDA1	10007	3.5747449350804e-07	5.05337995130963e-09	1.49177889882479
TGIF2	60436	3.58098847356624e-07	5.09368742605347e-09	-1.2144366745641
NKG7	4818	3.58098847356624e-07	5.09434701844679e-09	2.10823384253419
RYR3	6263	3.74506563343327e-07	5.36448110577421e-09	-1.26197509882479
PJA1	64219	3.74506563343327e-07	5.37232229500946e-09	-0.940916325576926
PEF1	553115	3.74506563343327e-07	5.37818517568841e-09	-0.744174097068375
NUP133	55746	3.79765602708503e-07	5.47075162542877e-09	-1.49687551244017
FAHD2A	51011	3.83339195525455e-07	5.53943458956139e-09	-0.953276084000003
TTLL5	23093	3.86462901825257e-07	5.60191703493955e-09	-0.999552478102566
PRPS1	5631	3.89854523335327e-07	5.66857539651958e-09	-1.08223803265812
CTR9	9646	4.02795850893461e-07	5.87482168201655e-09	-1.22374639571795
GATM	2628	4.05323303555521e-07	5.94310472250177e-09	-1.79761076673504
FLNA	2316	4.05323303555521e-07	5.94806445553361e-09	1.21769312376068
PDZD2	23037	4.0556060779839e-07	5.96974731220536e-09	-1.3802469072265
TOMM70	9868	4.11281476925956e-07	6.07241421301618e-09	-0.904669728119659
LOC100129518///SOD2	100129518///6648	4.12803912549709e-07	6.11341790339739e-09	-1.42502939812821
AMT	275	4.14615678862166e-07	6.15885606531334e-09	-1.34839339265812
ZFP36L2	678	4.33964767484337e-07	6.4657498005116e-09	-1.03450396628206
MIR664B///SNORA56///DKC1	100847052///677835///1736	4.42826038502037e-07	6.61764891716457e-09	-1.11018908530769
PLAUR	5329	4.59206330320858e-07	6.9025004538502e-09	2.38052837778205
LIMCH1	22998	4.59206330320858e-07	6.90365393607177e-09	-1.6520509383547
HLF	3131	4.69924233358889e-07	7.08587454151536e-09	-0.793741450611112
TRANK1	9881	4.80769187955645e-07	7.27097860885214e-09	-1.95336334444444
PAWR	5074	4.8123486106268e-07	7.29961778212924e-09	-2.51583492414103
SOX12	6666	4.92885051240833e-07	7.49845318721189e-09	-0.911576109384616
ARPC2	10109	5.07374585753987e-07	7.74165772814951e-09	0.687514474995725
GLOD4	51031	5.08746117863484e-07	7.78541606567555e-09	-0.821678048491452
WEE1	7465	5.14319280377828e-07	7.89378422515896e-09	-1.30939730148718
NASP	4678	5.17238177889153e-07	7.9617957643037e-09	-1.23904924277778
FCGR1B	2210	5.46508693080804e-07	8.4368797029034e-09	2.86579036233761
NIPBL	25836	5.68914891841743e-07	8.80831295989774e-09	0.981839153128204
CTSK	1513	5.84907325321671e-07	9.08216732761739e-09	0.975838082179488
LOC100294033///TCAF1	100294033///9747	6.09716909405619e-07	9.49476136802719e-09	-1.18263081040171
